country_province_or_state,deaths_jhu,deaths_ihme,month_jhu,day_jhu,month_ihme,day_ihme,uid,iso2,iso3,code3,pop_jhu
Iran (Islamic Republic of),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkey,4140,5263.391,05,18,08,24,792,TR,TUR,792,84339067
Sweden,3679,5759.774,05,18,08,24,752,SE,SWE,752,10099270
United Kingdom,34716,43479.249,05,18,08,24,826,GB,GBR,826,67886004
Italy,31908,35137.386,05,18,08,24,380,IT,ITA,380,60461828
Spain,27563,29580.554,05,18,08,24,724,ES,ESP,724,46754783
Belgium,9052,10593.9,05,18,08,24,56,BE,BEL,56,11589616
France,28111,31154.649,05,18,08,24,250,FR,FRA,250,65273512
Germany,7962,9905.032,05,18,08,24,276,DE,DEU,276,83783945
Netherlands,5699,6982.182,05,18,08,24,528,NL,NLD,528,17134873
Switzerland,1881,1935.327,05,18,08,24,756,CH,CHE,756,8654618
Brazil,16118,88304.925,05,18,08,24,76,BR,BRA,76,212559409
Canada,5903,9944.542,05,18,08,24,124,CA,CAN,124,37855702
United States of America,89562,143357.04,05,18,08,24,840,US,USA,840,329466283
Argentina,373,680.202,05,18,08,24,32,AR,ARG,32,45195777
Austria,629,645.75,05,18,08,24,40,AT,AUT,40,9006400
Bulgaria,108,197.089,05,18,08,24,100,BG,BGR,100,6948445
Chile,450,686.708,05,18,08,24,152,CL,CHL,152,19116209
Colombia,574,2157.254,05,18,08,24,170,CO,COL,170,50882884
Croatia,95,130.537,05,18,08,24,191,HR,HRV,191,4105268
Cyprus,17,10,05,18,08,24,196,CY,CYP,196,1207361
Czechia,298,396.773,05,18,08,24,203,CZ,CZE,203,10708982
Denmark,547,727.634,05,18,08,24,208,DK,DNK,208,5792203
Dominican Republic,428,881.064,05,18,08,24,214,DO,DOM,214,10847904
Ecuador,2736,5215.222,05,18,08,24,218,EC,ECU,218,17643060
Egypt,630,2047.312,05,18,08,24,818,EG,EGY,818,102334403
Estonia,63,64.474,05,18,08,24,233,EE,EST,233,1326539
Finland,298,409.663,05,18,08,24,246,FI,FIN,246,5540718
Georgia,12,2381.029,05,18,08,24,268,GE,GEO,268,3989175
Greece,163,164.288,05,18,08,24,300,GR,GRC,300,10423056
Hungary,451,716.727,05,18,08,24,348,HU,HUN,348,9660350
Iceland,10,33.315,05,18,08,24,352,IS,ISL,352,341250
Ireland,1543,1736.29,05,18,08,24,372,IE,IRL,372,4937796
Israel,272,271.773,05,18,08,24,376,IL,ISR,376,8655541
Latvia,19,15.956,05,18,08,24,428,LV,LVA,428,1886202
Lithuania,56,54.414,05,18,08,24,440,LT,LTU,440,2722291
Luxembourg,107,114.437,05,18,08,24,442,LU,LUX,442,625976
Malaysia,113,112.053,05,18,08,24,458,MY,MYS,458,32365998
Mexico,5177,544.175,05,18,08,24,484,MX,MEX,484,128932753
Norway,232,224.911,05,18,08,24,578,NO,NOR,578,5421242
Panama,275,661.421,05,18,08,24,591,PA,PAN,591,4314768
Peru,2648,6427.578,05,18,08,24,604,PE,PER,604,32971846
Philippines,824,1734.798,05,18,08,24,608,PH,PHL,608,109581085
Poland,925,1989.881,05,18,08,24,616,PL,POL,616,37846605
Portugal,1218,1666.273,05,18,08,24,620,PT,PRT,620,10196707
Romania,1107,5315.121,05,18,08,24,642,RO,ROU,642,19237682
Slovakia,28,24.12,05,18,08,24,703,SK,SVK,703,5459643
Slovenia,104,119.477,05,18,08,24,705,SI,SVN,705,2078932
Ukraine,514,1269.407,05,18,08,24,804,UA,UKR,804,43733759
